Size;Comparisons (bubble sort);Swaps (bubble sort);Copies (bubble sort);Accumulated runs (bubble sort);Repetitions (bubble sort);Time Average [seconds] (bubble sort);Time Stddev [seconds] (bubble sort);Time Median [seconds] (bubble sort);Time Minimum [seconds] (bubble sort);Time Maximum [seconds] (bubble sort);Comparisons (selection sort);Swaps (selection sort);Copies (selection sort);Accumulated runs (selection sort);Repetitions (selection sort);Time Average [seconds] (selection sort);Time Stddev [seconds] (selection sort);Time Median [seconds] (selection sort);Time Minimum [seconds] (selection sort);Time Maximum [seconds] (selection sort);Comparisons (insertion sort);Swaps (insertion sort);Copies (insertion sort);Accumulated runs (insertion sort);Repetitions (insertion sort);Time Average [seconds] (insertion sort);Time Stddev [seconds] (insertion sort);Time Median [seconds] (insertion sort);Time Minimum [seconds] (insertion sort);Time Maximum [seconds] (insertion sort);Comparisons (Shell sort);Swaps (Shell sort);Copies (Shell sort);Accumulated runs (Shell sort);Repetitions (Shell sort);Time Average [seconds] (Shell sort);Time Stddev [seconds] (Shell sort);Time Median [seconds] (Shell sort);Time Minimum [seconds] (Shell sort);Time Maximum [seconds] (Shell sort);Comparisons (quicksort);Swaps (quicksort);Copies (quicksort);Accumulated runs (quicksort);Repetitions (quicksort);Time Average [seconds] (quicksort);Time Stddev [seconds] (quicksort);Time Median [seconds] (quicksort);Time Minimum [seconds] (quicksort);Time Maximum [seconds] (quicksort);Comparisons (merge sort);Swaps (merge sort);Copies (merge sort);Accumulated runs (merge sort);Repetitions (merge sort);Time Average [seconds] (merge sort);Time Stddev [seconds] (merge sort);Time Median [seconds] (merge sort);Time Minimum [seconds] (merge sort);Time Maximum [seconds] (merge sort)
2;1;1;3;2619523;1001;3.32361e-09;2.299e-10;3.43117e-09;3.30252e-09;3.3239e-09;1;1;3;2579285;1001;4.54261e-09;3.46601e-10;4.18239e-09;4.06065e-09;4.72479e-09;1;0;3;2641915;1001;5.36621e-09;3.18466e-10;4.7769e-09;5.29168e-09;5.72243e-09;1;0;3;2669820;1001;7.01924e-09;4.37459e-10;6.76387e-09;7.12832e-09;6.11065e-09;4;1;3;2592404;1001;1.00513e-08;5.96699e-10;9.90647e-09;1.09021e-08;9.2916e-09;1;0;4;2126697;1001;6.72902e-08;2.61948e-09;7.42779e-08;7.13823e-08;6.63007e-08
4;6;1;3;2601036;1001;9.90395e-09;5.43976e-10;9.96001e-09;9.95463e-09;9.49481e-09;6;1;3;2609833;1001;1.35487e-08;6.62794e-10;1.36388e-08;1.31065e-08;1.28567e-08;4;0;5;2606922;1001;8.60324e-09;5.00973e-10;7.9065e-09;8.5072e-09;9.2671e-09;4;0;5;2556221;1001;1.18671e-08;6.48068e-10;1.23367e-08;1.15664e-08;1.26578e-08;15;1;3;2532589;1001;2.09754e-08;1.02241e-09;2.02052e-08;2.14225e-08;2.21364e-08;4;0;10;1950930;1001;9.44386e-08;3.71076e-09;9.1103e-08;9.38012e-08;9.19385e-08
8;28;2;6;2356403;1001;4.02993e-08;1.6e-09;3.99358e-08;4.0378e-08;4.19889e-08;28;2;6;2047345;1001;6.91132e-08;3.01983e-09;7.27331e-08;6.86058e-08;7.2612e-08;9;0;11;2369213;1001;1.79528e-08;9.60407e-10;1.93921e-08;1.72695e-08;1.70073e-08;13;0;15;2357565;1001;3.77173e-08;1.43918e-09;3.81149e-08;3.9322e-08;3.71885e-08;42;2;6;2266518;1001;5.0379e-08;2.08187e-09;5.16022e-08;5.27414e-08;5.02782e-08;12;0;28;1798477;1001;1.54615e-07;4.48607e-09;1.49852e-07;1.64215e-07;1.5342e-07
16;120;4;12;1758568;914;1.73712e-07;6.09709e-09;1.71215e-07;1.69366e-07;1.72466e-07;120;4;12;1350306;622;3.44182e-07;1.09418e-08;3.40881e-07;3.32711e-07;3.74059e-07;19;0;22;2327257;1001;3.68854e-08;1.40959e-09;3.80391e-08;3.64879e-08;3.58374e-08;34;0;37;2142679;1001;9.29351e-08;3.37625e-09;9.24578e-08;9.29259e-08;9.79486e-08;136;4;12;1805495;1001;1.36176e-07;4.40789e-09;1.43929e-07;1.33218e-07;1.38498e-07;34;0;72;1460664;705;2.78478e-07;8.71646e-09;2.76653e-07;2.76605e-07;2.72233e-07
32;496;7;21;897432;435;7.45969e-07;2.10754e-08;7.3412e-07;7.29118e-07;7.41072e-07;496;5;15;507689;358;1.63046e-06;4.69872e-08;1.59837e-06;1.60448e-06;1.64151e-06;38;0;44;2244635;1001;7.21377e-08;2.94351e-09;7.11694e-08;7.03937e-08;6.99389e-08;85;0;91;1693817;700;2.2954e-07;7.50059e-09;2.23553e-07;2.22776e-07;2.3076e-07;501;5;15;1220649;533;4.38206e-07;1.40124e-08;4.27777e-07;4.434e-07;4.35291e-07;84;0;172;984834;478;6.14335e-07;1.95228e-08;6.21177e-07;6.04727e-07;6.02099e-07
64;2016;13;39;362028;336;2.41412e-06;6.66043e-08;2.37169e-06;2.38746e-06;2.31702e-06;2016;13;39;123777;313;7.70389e-06;2.16639e-07;7.54144e-06;7.53184e-06;7.59558e-06;76;0;86;1916867;813;1.39255e-07;7.0639e-09;1.36761e-07;1.47083e-07;1.35295e-07;211;0;221;1139037;467;5.10899e-07;1.73343e-08;4.97548e-07;5.2374e-07;5.15914e-07;1782;13;39;480048;359;1.69185e-06;4.22164e-08;1.6895e-06;1.73973e-06;1.69702e-06;199;0;406;595428;398;1.21454e-06;4.09327e-08;1.18814e-06;1.18015e-06;1.21053e-06
128;8128;26;78;119234;311;7.99251e-06;2.19078e-07;7.90757e-06;8.06754e-06;8.10268e-06;8128;24;72;31114;291;3.30547e-05;9.77058e-07;3.25561e-05;3.35588e-05;3.21685e-05;153;0;175;1447044;529;2.92444e-07;1.22775e-08;3.04802e-07;2.81833e-07;2.81912e-07;487;0;510;721745;362;1.04975e-06;3.37659e-08;1.01946e-06;1.02779e-06;1.12034e-06;7216;24;72;146633;329;6.12303e-06;1.84761e-07;6.12725e-06;6.11413e-06;6.59577e-06;461;0;944;330173;347;2.5206e-06;8.08331e-08;2.61416e-06;2.54591e-06;2.63666e-06
256;32640;52;156;33754;317;2.78475e-05;7.9506e-07;2.90713e-05;2.708e-05;2.91353e-05;32640;50;150;6983;315;0.000136482;3.9381e-06;0.000145096;0.000136036;0.000133388;307;0;355;1017806;363;6.16759e-07;2.23802e-08;6.54943e-07;5.8777e-07;6.10091e-07;1153;0;1201;361794;324;2.36847e-06;6.77019e-08;2.3206e-06;2.31611e-06;2.40267e-06;27893;50;150;43359;308;2.23139e-05;6.35038e-07;2.2516e-05;2.22174e-05;2.28857e-05;1052;0;2152;175453;308;5.37007e-06;1.63147e-07;5.40229e-06;5.34275e-06;5.34089e-06
512;130816;103;309;10044;290;0.000102919;2.92181e-06;9.99096e-05;0.000100355;0.000102396;130816;101;303;1790;302;0.00055592;1.70488e-05;0.000540811;0.000550364;0.000558764;614;0;704;574515;316;1.28913e-06;5.27058e-08;1.35562e-06;1.37782e-06;1.28787e-06;2632;0;2722;177492;301;5.25981e-06;1.50487e-07;5.34785e-06;5.13576e-06;5.11048e-06;108202;101;303;12174;297;8.26821e-05;2.43697e-06;8.1041e-05;8.06156e-05;8.21505e-05;2349;0;4802;84563;298;1.15696e-05;3.74795e-07;1.11685e-05;1.12325e-05;1.15191e-05
1024;523776;205;615;2533;301;0.000393005;1.28938e-05;0.000397414;0.000397249;0.00040931;523776;193;579;431;314;0.00222262;6.20552e-05;0.00219604;0.00223631;0.00235293;1228;0;1414;305999;289;2.64219e-06;9.68287e-08;2.81307e-06;2.63738e-06;2.82355e-06;5806;0;5992;78818;311;1.14957e-05;3.53646e-07;1.20646e-05;1.15568e-05;1.12019e-05;427547;193;579;3237;294;0.000315237;8.56793e-06;0.000313365;0.000307894;0.000308749;5233;0;10634;40853;295;2.41862e-05;8.3809e-07;2.3135e-05;2.37778e-05;2.34554e-05
