Size;Comparisons (bubble sort);Swaps (bubble sort);Copies (bubble sort);Accumulated runs (bubble sort);Repetitions (bubble sort);Time Average [seconds] (bubble sort);Time Stddev [seconds] (bubble sort);Time Median [seconds] (bubble sort);Time Minimum [seconds] (bubble sort);Time Maximum [seconds] (bubble sort);Comparisons (selection sort);Swaps (selection sort);Copies (selection sort);Accumulated runs (selection sort);Repetitions (selection sort);Time Average [seconds] (selection sort);Time Stddev [seconds] (selection sort);Time Median [seconds] (selection sort);Time Minimum [seconds] (selection sort);Time Maximum [seconds] (selection sort);Comparisons (insertion sort);Swaps (insertion sort);Copies (insertion sort);Accumulated runs (insertion sort);Repetitions (insertion sort);Time Average [seconds] (insertion sort);Time Stddev [seconds] (insertion sort);Time Median [seconds] (insertion sort);Time Minimum [seconds] (insertion sort);Time Maximum [seconds] (insertion sort);Comparisons (Shell sort);Swaps (Shell sort);Copies (Shell sort);Accumulated runs (Shell sort);Repetitions (Shell sort);Time Average [seconds] (Shell sort);Time Stddev [seconds] (Shell sort);Time Median [seconds] (Shell sort);Time Minimum [seconds] (Shell sort);Time Maximum [seconds] (Shell sort);Comparisons (quicksort);Swaps (quicksort);Copies (quicksort);Accumulated runs (quicksort);Repetitions (quicksort);Time Average [seconds] (quicksort);Time Stddev [seconds] (quicksort);Time Median [seconds] (quicksort);Time Minimum [seconds] (quicksort);Time Maximum [seconds] (quicksort);Comparisons (merge sort);Swaps (merge sort);Copies (merge sort);Accumulated runs (merge sort);Repetitions (merge sort);Time Average [seconds] (merge sort);Time Stddev [seconds] (merge sort);Time Median [seconds] (merge sort);Time Minimum [seconds] (merge sort);Time Maximum [seconds] (merge sort)
2;1;0;0;2610571;1001;3.14091e-09;2.84959e-10;3.34116e-09;2.76734e-09;3.49783e-09;1;0;0;2404039;1001;4.03103e-09;3.34756e-10;4.37373e-09;3.81966e-09;3.96816e-09;1;0;1;2517687;1001;3.61988e-09;2.75585e-10;3.65062e-09;3.81387e-09;3.42025e-09;1;0;1;2596132;1001;5.75631e-09;4.87826e-10;5.5689e-09;4.82318e-09;6.11202e-09;4;0;0;2496719;1001;9.1461e-09;5.86979e-10;8.76373e-09;8.83502e-09;9.54395e-09;1;0;2;2162666;1001;7.0163e-08;2.77855e-09;6.76487e-08;7.30226e-08;7.38092e-08
4;6;6;18;2439850;1001;8.62326e-09;6.06019e-10;9.38967e-09;8.69537e-09;8.27772e-09;6;2;6;2390729;1001;1.63783e-08;1.0061e-09;1.71796e-08;1.72653e-08;1.69173e-08;6;0;12;2423678;1001;1.27709e-08;8.81149e-10;1.31635e-08;1.24828e-08;1.36727e-08;6;0;12;2316307;1001;1.62816e-08;7.61433e-10;1.73617e-08;1.5842e-08;1.7594e-08;11;2;6;2361674;1001;2.08848e-08;9.36732e-10;2.19078e-08;2.14475e-08;2.08716e-08;4;0;16;2022375;1001;9.90838e-08;3.7772e-09;9.73696e-08;9.36008e-08;9.68301e-08
8;28;7;21;2367603;1001;3.85986e-08;1.53258e-09;4.08182e-08;3.7903e-08;4.00529e-08;28;5;15;2043841;1001;9.47188e-08;3.42106e-09;9.80056e-08;9.08153e-08;9.91085e-08;13;0;18;2431784;1001;2.12717e-08;1.28991e-09;2.08836e-08;2.34053e-08;2.2962e-08;14;0;20;2219944;1001;3.94408e-08;1.71458e-09;4.18791e-08;3.92344e-08;3.93687e-08;34;5;15;2300293;1001;4.81176e-08;2.07391e-09;4.59057e-08;4.79045e-08;5.22675e-08;17;0;36;1658977;1001;1.66153e-07;5.41492e-09;1.78694e-07;1.61352e-07;1.612e-07
16;120;37;111;1835387;924;1.57841e-07;6.05894e-09;1.63668e-07;1.71675e-07;1.68885e-07;120;13;39;1101587;541;4.84292e-07;1.67955e-08;4.89305e-07;4.69382e-07;5.17734e-07;52;0;64;2076855;1001;6.14532e-08;3.5253e-09;6.07575e-08;5.52795e-08;6.04908e-08;50;0;66;2031424;1001;1.07748e-07;4.70416e-09;1.0405e-07;1.05818e-07;1.178e-07;90;15;45;1790383;1001;1.23058e-07;4.91773e-09;1.25822e-07;1.16184e-07;1.19936e-07;46;0;108;1347419;661;3.1796e-07;1.04034e-08;3.23159e-07;3.15095e-07;3.10645e-07
32;496;314;942;969062;458;6.36789e-07;1.87661e-08;6.54034e-07;6.70784e-07;6.5157e-07;496;28;84;417563;339;2.08523e-06;6.03285e-08;2.06753e-06;2.12706e-06;2.18535e-06;338;0;375;1305708;675;3.01012e-07;1.118e-08;3.24012e-07;3.11985e-07;3.02206e-07;141;0;208;1477788;628;2.83651e-07;1.00702e-08;2.90745e-07;2.99577e-07;2.84323e-07;262;36;108;1477978;584;3.0797e-07;1.19761e-08;3.06126e-07;2.96852e-07;3.21641e-07;125;0;288;830056;452;7.6107e-07;2.66097e-08;7.67704e-07;7.63918e-07;7.4122e-07
64;2016;1079;3237;317737;338;2.73108e-06;7.87358e-08;2.81765e-06;2.97237e-06;2.6967e-06;2016;59;177;108563;319;8.62605e-06;2.61921e-07;8.66177e-06;8.35172e-06;9.08915e-06;1137;0;1202;648935;421;1.03777e-06;3.36457e-08;1.10937e-06;1.01314e-06;9.98535e-07;427;0;579;874937;408;7.79127e-07;2.29641e-08;7.90657e-07;8.15832e-07;7.76418e-07;511;85;255;986643;423;6.56986e-07;2.07485e-08;6.32328e-07;6.88246e-07;6.8652e-07;304;0;716;473707;391;1.56055e-06;4.72341e-08;1.66579e-06;1.50509e-06;1.58995e-06
128;8128;4166;12498;63500;301;1.56197e-05;6.11849e-07;1.58642e-05;1.62709e-05;1.53256e-05;8128;126;378;28881;301;3.44948e-05;1.11653e-06;3.46304e-05;3.49376e-05;3.45635e-05;4290;0;4418;238914;314;3.90142e-06;1.3212e-07;3.87867e-06;4.13677e-06;3.79085e-06;1120;0;1472;445760;336;1.90174e-06;6.77541e-08;1.88228e-06;1.86894e-06;1.86882e-06;1183;204;612;552655;351;1.44284e-06;4.3518e-08;1.4481e-06;1.46519e-06;1.42898e-06;741;0;1634;268413;325;3.34228e-06;1.40118e-07;3.35512e-06;3.46104e-06;3.66757e-06
256;32640;15837;47511;12552;309;7.7206e-05;1.65087e-06;7.70965e-05;7.51354e-05;7.54961e-05;32640;251;753;6944;295;0.000146457;1.8438e-06;0.000143389;0.000145578;0.000144652;16088;0;16341;66715;304;1.46053e-05;2.19446e-07;1.44058e-05;1.48425e-05;1.42401e-05;2284;0;3004;188738;303;5.03558e-06;1.45932e-07;4.91516e-06;5.32935e-06;4.93627e-06;2558;463;1389;256055;328;3.3577e-06;1.42678e-07;3.36964e-06;3.28623e-06;3.42822e-06;1727;0;3798;97759;335;8.94338e-06;3.17759e-07;9.40893e-06;8.63797e-06;8.72848e-06
512;130816;62981;188943;3519;299;0.00028536;8.48022e-06;0.000281485;0.000291729;0.000270118;130816;505;1515;1844;292;0.000557988;1.78919e-05;0.000542321;0.000536963;0.000583957;63487;0;63995;18822;309;5.1253e-05;1.87585e-06;5.1865e-05;4.9247e-05;4.96368e-05;6018;0;7768;42277;289;2.41795e-05;1.01659e-06;2.39793e-05;2.53709e-05;2.41127e-05;5949;1069;3207;109256;298;8.83501e-06;5.438e-07;8.24584e-06;8.24245e-06;1.01523e-05;3991;0;8592;34623;321;2.66078e-05;1.17442e-06;2.89178e-05;2.61084e-05;2.51642e-05
1024;523776;260184;780552;987;296;0.00102737;2.87344e-05;0.00102757;0.00100019;0.0010177;523776;1016;3048;455;294;0.00224804;6.13521e-05;0.00217962;0.00232501;0.00231975;261204;0;262225;4890;313;0.000195497;5.15939e-06;0.000200696;0.000195746;0.000189683;14568;0;18544;15369;285;6.79879e-05;1.95663e-06;6.59103e-05;7.17705e-05;6.65365e-05;13147;2330;6990;27025;299;3.64992e-05;1.51607e-06;3.62024e-05;3.73729e-05;3.5285e-05;8941;0;19124;14510;300;6.83063e-05;2.6722e-06;6.7397e-05;6.75801e-05;6.99494e-05
