Size;Comparisons (bubble sort);Swaps (bubble sort);Copies (bubble sort);Accumulated runs (bubble sort);Repetitions (bubble sort);Time Average [seconds] (bubble sort);Time Stddev [seconds] (bubble sort);Time Median [seconds] (bubble sort);Time Minimum [seconds] (bubble sort);Time Maximum [seconds] (bubble sort);Comparisons (selection sort);Swaps (selection sort);Copies (selection sort);Accumulated runs (selection sort);Repetitions (selection sort);Time Average [seconds] (selection sort);Time Stddev [seconds] (selection sort);Time Median [seconds] (selection sort);Time Minimum [seconds] (selection sort);Time Maximum [seconds] (selection sort);Comparisons (insertion sort);Swaps (insertion sort);Copies (insertion sort);Accumulated runs (insertion sort);Repetitions (insertion sort);Time Average [seconds] (insertion sort);Time Stddev [seconds] (insertion sort);Time Median [seconds] (insertion sort);Time Minimum [seconds] (insertion sort);Time Maximum [seconds] (insertion sort);Comparisons (Shell sort);Swaps (Shell sort);Copies (Shell sort);Accumulated runs (Shell sort);Repetitions (Shell sort);Time Average [seconds] (Shell sort);Time Stddev [seconds] (Shell sort);Time Median [seconds] (Shell sort);Time Minimum [seconds] (Shell sort);Time Maximum [seconds] (Shell sort);Comparisons (quicksort);Swaps (quicksort);Copies (quicksort);Accumulated runs (quicksort);Repetitions (quicksort);Time Average [seconds] (quicksort);Time Stddev [seconds] (quicksort);Time Median [seconds] (quicksort);Time Minimum [seconds] (quicksort);Time Maximum [seconds] (quicksort);Comparisons (merge sort);Swaps (merge sort);Copies (merge sort);Accumulated runs (merge sort);Repetitions (merge sort);Time Average [seconds] (merge sort);Time Stddev [seconds] (merge sort);Time Median [seconds] (merge sort);Time Minimum [seconds] (merge sort);Time Maximum [seconds] (merge sort)
2;1;0;0;2691393;1001;3.41339e-09;2.85781e-10;3.02691e-09;3.55191e-09;3.8852e-09;1;0;0;2420464;1001;4.32937e-09;3.70822e-10;4.7411e-09;4.48165e-09;4.48206e-09;1;0;1;2663640;1001;4.54601e-09;3.82884e-10;4.20057e-09;3.95279e-09;5.05429e-09;1;0;1;2435836;1001;5.87876e-09;3.51573e-10;6.1363e-09;5.47985e-09;6.20774e-09;4;0;0;2566888;1001;9.20651e-09;5.00795e-10;9.12832e-09;8.44461e-09;8.96626e-09;1;0;2;2176706;1001;6.84771e-08;2.39935e-09;6.9524e-08;7.15665e-08;6.86984e-08
4;6;0;0;2590320;1001;9.81769e-09;6.37626e-10;9.19092e-09;8.63616e-09;9.17934e-09;6;0;0;2572044;1001;1.35518e-08;6.85126e-10;1.37772e-08;1.28005e-08;1.35249e-08;3;0;3;2572950;1001;7.86928e-09;5.57935e-10;8.10168e-09;7.58554e-09;7.45223e-09;3;0;3;2562169;1001;1.13366e-08;6.99774e-10;1.15479e-08;1.16529e-08;1.0971e-08;15;0;0;2555439;1001;2.05182e-08;9.6037e-10;1.98732e-08;2.00207e-08;2.01056e-08;4;0;8;2008783;1001;9.37446e-08;3.22726e-09;9.36505e-08;9.28445e-08;8.99801e-08
8;28;0;0;2449425;1001;4.18e-08;1.84174e-09;4.13533e-08;4.24707e-08;4.33661e-08;28;0;0;2251271;1001;6.00597e-08;2.30721e-09;5.91024e-08;5.5639e-08;5.98473e-08;7;0;7;2405564;1001;1.70241e-08;1.00157e-09;1.81271e-08;1.70479e-08;1.61708e-08;11;0;11;2355799;1001;3.68349e-08;1.69584e-09;3.46348e-08;3.4839e-08;3.49765e-08;49;0;0;2342793;1001;5.22934e-08;2.22917e-09;5.35526e-08;5.14534e-08;5.22494e-08;12;0;24;1801309;1001;1.52145e-07;4.97224e-09;1.54226e-07;1.52033e-07;1.4558e-07
16;120;0;0;1787569;875;1.78603e-07;5.26652e-09;1.77772e-07;1.78573e-07;1.81053e-07;120;0;0;1456021;648;3.0494e-07;7.93617e-09;3.00308e-07;3.03888e-07;3.06104e-07;15;0;15;2375649;1001;4.01235e-08;2.03847e-09;3.89676e-08;4.12937e-08;4.15285e-08;30;0;30;2069419;1001;1.00471e-07;3.14349e-09;9.42218e-08;9.92169e-08;9.6924e-08;165;0;0;1867901;1001;1.47009e-07;5.68524e-09;1.47656e-07;1.56085e-07;1.43635e-07;32;0;64;1526027;678;2.76764e-07;8.93775e-09;2.68984e-07;2.68087e-07;2.69096e-07
32;496;0;0;888708;442;7.39828e-07;2.3337e-08;7.31974e-07;7.13997e-07;7.10058e-07;496;0;0;517790;369;1.54596e-06;4.63155e-08;1.52187e-06;1.51834e-06;1.61263e-06;31;0;31;2124697;1001;6.82701e-08;3.13444e-09;7.24601e-08;6.53183e-08;6.72353e-08;78;0;78;1729348;756;2.04874e-07;7.85986e-09;2.07974e-07;2.15954e-07;1.97042e-07;589;0;0;1104164;503;5.16303e-07;1.69948e-08;5.15525e-07;5.42702e-07;5.10883e-07;80;0;160;1030440;478;5.85462e-07;1.95728e-08;5.76311e-07;5.70807e-07;5.61781e-07
64;2016;0;0;371805;334;2.366e-06;7.68857e-08;2.32076e-06;2.34719e-06;2.39358e-06;2016;0;0;127495;315;7.44027e-06;2.2036e-07;7.43342e-06;7.40556e-06;7.75172e-06;63;0;63;2006078;833;1.26066e-07;5.81047e-09;1.28346e-07;1.20982e-07;1.27692e-07;198;0;198;1153819;526;4.4137e-07;1.5176e-08;4.62871e-07;4.41074e-07;4.33349e-07;2205;0;0;425612;349;1.96709e-06;6.19098e-08;1.92152e-06;1.97909e-06;2.02463e-06;192;0;384;629691;385;1.18575e-06;3.47539e-08;1.17553e-06;1.19221e-06;1.14403e-06
128;8128;0;0;125680;305;7.7451e-06;2.30538e-07;7.6679e-06;8.16774e-06;7.62802e-06;8128;0;0;31117;301;3.19643e-05;9.1397e-07;3.09773e-05;3.13264e-05;3.14448e-05;127;0;127;1638430;545;2.38033e-07;1.00688e-08;2.38361e-07;2.36472e-07;2.37156e-07;461;0;461;791831;371;9.25005e-07;2.95466e-08;8.94866e-07;9.34847e-07;9.68251e-07;8509;0;0;126983;325;7.17311e-06;1.8809e-07;7.46413e-06;7.08995e-06;7.13669e-06;448;0;896;356117;327;2.48125e-06;6.39217e-08;2.48482e-06;2.46488e-06;2.54705e-06
256;32640;0;0;35155;307;2.76747e-05;8.956e-07;2.70331e-05;2.70212e-05;2.70018e-05;32640;0;0;7535;301;0.000132259;4.04056e-06;0.00013147;0.000140397;0.000129418;255;0;255;1215230;379;4.63846e-07;1.85618e-08;4.69938e-07;4.70544e-07;4.7706e-07;1101;0;1101;404117;331;2.05846e-06;7.13585e-08;1.98414e-06;2.08138e-06;2.01987e-06;33405;0;0;38535;298;2.59743e-05;8.32158e-07;2.55012e-05;2.61699e-05;2.7032e-05;1024;0;2048;173830;323;5.16769e-06;1.7919e-07;5.39084e-06;5.09795e-06;5.10115e-06
512;130816;0;0;9447;312;0.000101572;2.93213e-06;0.000103146;0.000101993;0.000100125;130816;0;0;1853;299;0.000541656;1.60972e-05;0.000536959;0.000550939;0.000548207;511;0;511;773293;300;9.24232e-07;3.73328e-08;9.32645e-07;9.17994e-07;9.92747e-07;2529;0;2529;194005;306;4.68387e-06;1.47121e-07;4.57651e-06;4.67071e-06;4.60139e-06;132349;0;0;10028;302;9.88183e-05;2.69609e-06;9.58783e-05;9.70903e-05;9.71082e-05;2304;0;4608;91258;293;1.08533e-05;3.12938e-07;1.05035e-05;1.12089e-05;1.04533e-05
1024;523776;0;0;2606;294;0.00039176;1.13055e-05;0.000387406;0.000392452;0.000408506;523776;0;0;430;315;0.00221571;6.08864e-05;0.00228518;0.00219778;0.00216495;1023;0;1023;457678;256;1.85157e-06;6.93568e-08;1.8014e-06;1.83992e-06;1.77696e-06;5601;0;5601;95691;288;1.01876e-05;3.3432e-07;1.03876e-05;1.06324e-05;9.92445e-06;526845;0;0;2596;300;0.000384597;1.08678e-05;0.000383793;0.000376394;0.000406605;5120;0;10240;42370;301;2.28177e-05;6.62922e-07;2.24486e-05;2.22886e-05;2.23525e-05
